Date,USD,EUR
1985-01-01,308.3,402.45
1985-01-02,305.5,401.49
1985-01-03,302.3,397.08
1985-01-04,303.15,397.15
1985-01-07,298.25,392.55
1985-01-08,302.0,395.32
1985-01-09,300.5,393.54
1985-01-10,303.8,397.63
1985-01-11,304.25,398.6
1985-01-14,299.0,395.39
1985-01-15,301.8,398.73
1985-01-16,302.7,400.11
1985-01-17,305.5,402.99
1985-01-18,308.0,406.15
1985-01-21,307.25,404.61
1985-01-22,306.9,403.45
1985-01-23,300.25,396.15
1985-01-24,300.85,394.79
1985-01-25,298.85,393.15
1985-01-28,297.75,391.63
1985-01-29,303.25,399.59
1985-01-30,302.9,398.15
1985-01-31,306.65,402.82
1985-02-01,303.6,400.05
1985-02-04,301.25,401.44
1985-02-05,302.05,403.85
1985-02-06,302.85,404.56
1985-02-07,301.65,405.8
1985-02-08,299.8,404.45
1985-02-11,300.15,407.29
1985-02-12,302.5,412.8
1985-02-13,303.2,414.89
1985-02-14,304.15,415.55
1985-02-15,304.0,412.63
1985-02-18,304.5,416.4
1985-02-19,302.6,416.1
1985-02-20,302.9,419.37
1985-02-21,299.85,418.42
1985-02-22,298.4,420.94
1985-02-25,284.25,408.71
1985-02-26,285.75,408.29
1985-02-27,290.8,402.81
1985-02-28,287.75,400.46
1985-03-01,287.25,401.54
1985-03-04,288.65,404.8
1985-03-05,287.9,410.26
1985-03-06,287.4,405.32
1985-03-07,289.6,409.62
1985-03-08,291.0,411.97
1985-03-11,291.0,405.25
1985-03-12,288.45,402.13
1985-03-13,290.25,406.02
1985-03-14,290.75,410.24
1985-03-15,292.7,412.58
1985-03-18,298.85,417.5
1985-03-19,316.75,434.73
1985-03-20,324.0,441.66
1985-03-21,318.5,428.58
1985-03-22,315.5,425.44
1985-03-25,314.6,426.33
1985-03-26,323.75,435.2
1985-03-27,330.4,433.65
1985-03-28,326.25,427.74
1985-03-29,329.25,425.73
1985-04-01,321.1,418.52
1985-04-02,318.75,420.09
1985-04-03,321.25,420.93
1985-04-04,316.75,420.47
1985-04-05,316.75,420.47
1985-04-08,316.75,420.47
1985-04-09,323.1,425.98
1985-04-10,327.25,429.21
1985-04-11,332.25,429.08
1985-04-12,329.9,423.24
1985-04-15,334.25,424.38
1985-04-16,330.5,420.04
1985-04-17,327.35,415.56
1985-04-18,329.75,414.0
1985-04-19,327.0,408.63
1985-04-22,327.75,414.72
1985-04-23,326.65,420.78
1985-04-24,322.0,421.72
1985-04-25,322.5,425.72
1985-04-26,323.5,425.35
1985-04-29,322.5,421.36
1985-04-30,321.35,417.93
1985-05-01,312.5,411.88
1985-05-02,313.25,415.61
1985-05-03,312.75,421.13
1985-05-06,312.75,421.13
1985-05-07,313.5,416.18
1985-05-08,312.85,417.84
1985-05-09,315.1,411.68
1985-05-10,314.5,412.45
1985-05-13,321.0,414.1
1985-05-14,326.5,417.45
1985-05-15,322.75,416.25
1985-05-16,320.1,415.94
1985-05-17,322.5,416.48
1985-05-20,323.3,411.87
1985-05-21,314.9,404.89
1985-05-22,316.25,409.21
1985-05-23,315.4,407.35
1985-05-24,314.7,408.39
1985-05-27,314.7,408.39
1985-05-28,311.25,406.58
1985-05-29,312.0,403.49
1985-05-30,314.6,406.84
1985-05-31,314.0,403.43
1985-06-03,318.1,407.89
1985-06-04,315.65,404.81
1985-06-05,314.2,405.87
1985-06-06,314.8,404.17
1985-06-07,314.3,406.47
1985-06-10,312.0,406.22
1985-06-11,315.0,408.09
1985-06-12,314.5,407.18
1985-06-13,313.75,407.95
1985-06-14,318.25,408.54
1985-06-17,318.9,410.6
1985-06-18,323.75,412.97
1985-06-19,325.4,413.1
1985-06-20,318.1,411.16
1985-06-21,313.45,404.02
1985-06-24,314.65,406.14
1985-06-25,315.5,406.53
1985-06-26,316.75,405.49
1985-06-27,315.0,404.99
1985-06-28,317.75,404.96
1985-07-01,313.9,401.15
1985-07-02,308.25,394.38
1985-07-03,310.35,395.67
