Year,Inflation_Index,Brent_Price,Gold_USD
1994,4.26,15.86,384.15
1996,6.39,20.64,387.87
1997,5.34,19.11,331.29
1998,4.71,12.76,294.09
1999,3.65,17.9,278.57
2000,3.95,28.66,279.1
2001,3.78,24.46,271.04
2002,3.12,24.99,309.68
2003,2.84,28.85,363.32
2004,1.95,38.26,409.17
2005,2.52,54.57,444.45
2006,2.97,65.16,603.77
2007,2.09,72.44,695.39
2008,3.62,96.94,871.96
2009,1.37,61.74,972.35
2010,2.05,79.61,1224.52
2011,2.04,111.26,1571.52
2012,2.79,111.63,1668.98
2013,1.73,108.56,1411.23
2014,1.66,98.97,1266.4
2015,0.59,52.32,1160.06
2016,1.29,43.64,1250.8
2017,2.36,54.13,1257.15
2018,2.19,71.34,1268.49
2019,2.11,64.3,1392.6
2020,2.38,41.96,1769.59
2021,1.56,70.86,1798.61
2022,7.18,86.54,1772.9
2022,7.18,86.54,1772.9
