Year,Inflation_Index,Brent_Price,Gold_USD,MSCI World
1994,4.26,15.86,384.15,96930.88
1996,6.39,20.64,387.87,130825.76
1997,5.34,19.11,331.29,169914.86
1998,4.71,12.76,294.09,200555.96
1999,3.65,17.9,278.57,294165.1
2000,3.95,28.66,279.1,276564.16
2001,3.78,24.46,271.04,243761.59
2002,3.12,24.99,309.68,164820.38
2003,2.84,28.85,363.32,183058.76
2004,1.95,38.26,409.17,195619.9
2005,2.52,54.57,444.45,248504.8
2006,2.97,65.16,603.77,268569.03
2007,2.09,72.44,695.39,263257.1
2008,3.62,96.94,871.96,166149.47
2009,1.37,61.74,972.35,209934.69
2010,2.05,79.61,1224.52,254263.71
2011,2.04,111.26,1571.52,249403.88
2012,2.79,111.63,1668.98,285031.05
2013,1.73,108.56,1411.23,347314.59
2014,1.66,98.97,1266.4,416228.64
2015,0.59,52.32,1160.06,462681.53
2016,1.29,43.64,1250.8,516830.01
2017,2.36,54.13,1257.15,559064.78
2018,2.19,71.34,1268.49,537532.97
2019,2.11,64.3,1392.6,703474.06
2020,2.38,41.96,1769.59,750264.58
2021,1.56,70.86,1798.61,994518.44
2022,7.18,86.54,1772.9,929279.32
2022,7.18,86.54,1772.9,929279.32
