Date,Inflation_Index,Brent_Price,Gold_USD,MSCI_World,SPX_value,Interest_Rate
1990-10,7.72,36.02,379.5,58415.02,304.0,7.46
1990-11,7.83,33.07,384.85,56330.6,322.22,7.31
1990-12,7.65,28.27,386.2,58201.46,330.22,6.82
1991-1,7.44,23.57,366.0,60491.37,343.93,6.59
1991-2,7.22,19.54,362.7,65002.78,367.07,6.3
1991-3,7.04,19.08,355.65,68678.24,375.22,6.28
1991-4,6.93,19.18,357.75,72917.13,375.34,6.22
1991-5,6.92,19.19,360.4,75579.51,389.83,6.11
1991-6,6.88,18.17,368.35,73571.23,371.16,6.32
1991-7,6.9,19.4,362.85,77158.98,387.81,6.38
1991-8,6.52,19.77,347.4,75234.26,395.43,5.7
1991-9,6.09,20.5,354.9,75089.83,387.86,5.42
1991-10,5.84,22.21,357.45,76219.33,392.45,5.32
1991-11,6.01,21.11,366.3,70183.66,375.22,4.89
1991-12,6.03,18.41,353.15,72914.06,417.09,4.12
1992-1,5.65,18.16,354.1,72080.62,408.78,4.13
1992-2,5.74,18.05,353.1,72413.35,412.7,4.16
1992-3,5.93,17.63,341.7,70859.45,403.69,4.54
1992-4,5.83,18.92,336.35,71211.69,414.95,4.34
1992-5,5.61,19.89,337.5,72641.78,415.35,4.27
1992-6,5.47,21.16,343.4,68211.92,408.14,4.2
1992-7,5.22,20.24,357.85,65144.89,424.21,4.04
1992-8,5.17,19.74,340.0,65058.42,414.03,3.43
1992-9,5.17,20.27,349.0,65963.46,417.8,3.06
1992-10,4.94,20.26,339.25,66858.6,418.68,3.55
1992-11,4.7,19.21,334.2,72526.59,431.35,3.68
1992-12,4.63,18.14,332.9,73078.71,435.71,3.82
1993-1,4.81,17.39,330.45,74768.9,438.78,3.41
1993-2,4.78,18.47,327.6,78461.23,443.38,3.3
1993-3,4.64,18.79,337.8,83433.31,451.67,3.32
1993-4,4.63,18.67,354.3,84344.25,440.19,3.24
1993-5,4.66,18.51,377.45,86514.92,450.19,3.22
1993-6,4.61,17.65,378.45,88306.95,450.53,3.45
1993-7,4.78,16.78,401.75,93963.38,448.13,3.34
1993-8,4.76,16.7,371.55,99037.08,463.56,3.42
1993-9,4.6,16.01,355.5,93357.6,458.93,3.39
1993-10,4.58,16.61,369.6,97071.79,467.83,3.47
1993-11,4.47,15.2,370.9,94055.92,461.79,3.56
1993-12,4.51,13.73,391.75,98630.71,466.45,3.63
